jday,mon,day,yr,precip,snofall,snomlt,et,pet,Perc,lai,tmx,tmn,tmpav,solarad,phubas
183,7,2,2002,2.16,0,0,1.56,1.66,0.461,2.94,14.5,7.92,11.2,10.6,0.421
184,7,3,2002,1.6,0,0,3.34,3.47,0.453,2.93,15.4,8.81,12.1,28,0.425
185,7,4,2002,25.1,0,0,2.28,2.4,0.537,2.93,14.9,8.28,11.6,14.4,0.428
186,7,5,2002,4.35E-02,0,0,1.52,1.77,0.52,2.93,16,9.43,12.7,12.7,0.431
187,7,6,2002,1.90E-04,0,0,2,2.37,0.508,2.94,15.4,8.83,12.1,15.4,0.435
188,7,7,2002,12.2,0,0,1.58,1.7,0.534,2.94,16.2,9.56,12.9,10.3,0.438
189,7,8,2002,9.72E-02,0,0,1.51,1.72,0.521,2.95,16.1,9.49,12.8,7.55,0.442
190,7,9,2002,0.699,0,0,2.77,3.02,0.509,2.95,15.1,8.55,11.8,20.8,0.445
191,7,10,2002,0.837,0,0,3.24,3.46,0.496,2.95,15.5,8.86,12.2,27.9,0.449
192,7,11,2002,1.33,0,0,3.2,3.45,0.483,2.95,15.9,9.31,12.6,27.3,0.452
193,7,12,2002,0.139,0,0,3.53,4.12,0.47,2.95,15.7,9.11,12.4,29.4,0.456
194,7,13,2002,0.139,0,0,3.49,4.09,0.455,2.96,16.7,10.1,13.4,28,0.46
195,7,14,2002,0,0,0,2.61,3.13,0.44,2.97,17.3,10.7,14,19.3,0.464
196,7,15,2002,1.90E-04,0,0,1.94,2.34,0.427,2.99,18.6,12,15.3,16.5,0.468
197,7,16,2002,0,0,0,3.14,3.78,0.416,3.02,17.8,11.2,14.5,25.7,0.472
198,7,17,2002,0,0,0,1.88,2.23,0.403,3.04,16.6,10,13.3,12.6,0.476
199,7,18,2002,0.182,0,0,1.92,2.24,0.392,3.04,17.3,10.7,14,13.4,0.48
200,7,19,2002,5.2,0,0,0.927,1.01,0.389,3.06,17.7,11.1,14.4,6.57,0.484
201,7,20,2002,0.355,0,0,1.77,1.83,0.383,3.07,16.3,9.65,13,13.2,0.487
202,7,21,2002,5.26E-02,0,0,3.65,4.08,0.375,3.07,17,10.4,13.7,27.2,0.491
203,7,22,2002,3.08,0,0,1.61,1.66,0.366,3.07,17.1,10.5,13.8,9.29,0.495
204,7,23,2002,0.365,0,0,1,0.993,0.36,3.08,18.2,11.6,14.9,4.3,0.499
205,7,24,2002,0,0,0,1.97,2.21,0.354,3.09,16,9.42,12.7,11.3,0.503
206,7,25,2002,4.33E-02,0,0,1.27,1.4,0.346,3.08,17.7,11.1,14.4,8.84,0.507
207,7,26,2002,0,0,0,1.42,1.59,0.339,3.08,17.8,11.2,14.5,9.09,0.511
208,7,27,2002,5.26E-02,0,0,1.44,1.6,0.333,3.08,18,11.4,14.7,7.65,0.515
209,7,28,2002,0.502,0,0,2.93,3.07,0.326,3.08,19.2,12.6,15.9,18.8,0.52
210,7,29,2002,5.21,0,0,1.44,1.5,0.324,3.08,20.4,13.8,17.1,9.24,0.524
211,7,30,2002,17,0,0,1.32,1.37,0.356,3.09,18.5,11.9,15.2,9.51,0.529
212,7,31,2002,1.04,0,0,0.833,0.868,0.352,3.09,17.8,11.2,14.5,5.69,0.533
213,8,1,2002,19.2,0,0,0.589,0.599,0.406,3.09,19,11.7,15.4,3.44,0.537
214,8,2,2002,0.668,0,0,0.719,0.743,0.401,3.09,17.9,10.6,14.2,4.51,0.541
215,8,3,2002,0,0,0,3.3,3.67,0.395,3.08,18.4,11.1,14.8,25.4,0.545
216,8,4,2002,0,0,0,3.26,3.67,0.384,3.08,19,11.7,15.4,24.8,0.549
217,8,5,2002,0,0,0,3.28,3.71,0.372,3.08,20.1,12.8,16.5,23.6,0.554
218,8,6,2002,0.182,0,0,2.56,2.91,0.36,3.08,19.4,12.1,15.7,18.2,0.559
219,8,7,2002,1.4,0,0,1.1,1.17,0.351,3.07,19.1,11.8,15.5,6.02,0.563
220,8,8,2002,21.4,0,0,0.962,1.01,0.407,3.07,16.4,9.09,12.7,4.85,0.567
221,8,9,2002,3.41,0,0,1.02,1.07,0.412,3.06,16.4,9.07,12.7,6.58,0.57
222,8,10,2002,2.4,0,0,1.84,1.87,0.411,3.06,17,9.66,13.3,10.8,0.574
223,8,11,2002,2.86,0,0,0.814,0.857,0.411,3.05,17.2,9.86,13.5,2.58,0.578
224,8,12,2002,0.536,0,0,3.34,3.56,0.404,3.04,18.2,10.9,14.5,23.3,0.582
225,8,13,2002,1.8,0,0,0.709,0.745,0.395,3.04,19.5,12.2,15.9,4.4,0.586
226,8,14,2002,1.94,0,0,2.76,2.79,0.392,3.03,19.5,12.2,15.9,16.7,0.591
227,8,15,2002,0,0,0,2.79,3.19,0.383,3.03,17.9,10.6,14.3,20,0.595
228,8,16,2002,0,0,0,2.8,3.22,0.373,3.02,17.1,9.81,13.5,22.1,0.598
229,8,17,2002,26.2,0,0,3.59,3.65,0.45,3.02,20,12.7,16.4,19.1,0.603
230,8,18,2002,2.5,0,0,1.3,1.37,0.441,3.01,17.5,10.2,13.9,8.71,0.607
231,8,19,2002,0,0,0,1.39,1.59,0.434,3.01,17.1,9.82,13.5,9.14,0.611
232,8,20,2002,0,0,0,2.37,2.72,0.424,3,17.8,10.5,14.1,16.8,0.615
233,8,21,2002,0,0,0,2.73,3.17,0.412,3,17.2,9.87,13.5,21.8,0.619
234,8,22,2002,0,0,0,1.72,2,0.401,2.99,17.9,10.6,14.2,13.5,0.623
235,8,23,2002,1.08,0,0,2.58,2.72,0.391,2.99,18.5,11.2,14.9,20.1,0.627
236,8,24,2002,1.46,0,0,1.95,2.04,0.382,2.98,17.8,10.5,14.1,14.7,0.631
237,8,25,2002,0,0,0,1.51,1.76,0.375,2.98,18.1,10.8,14.5,10.1,0.635
238,8,26,2002,0,0,0,2.11,2.46,0.366,2.97,18,10.7,14.3,17.3,0.639
239,8,27,2002,1.90E-04,0,0,2.18,2.56,0.357,2.97,18.1,10.8,14.5,18.3,0.643
240,8,28,2002,1.51,0,0,2.4,2.57,0.348,2.96,19,11.7,15.4,18,0.647
241,8,29,2002,3.7,0,0,0.686,0.747,0.345,2.95,19.6,12.3,16,3.98,0.652
242,8,30,2002,1.96,0,0,0.856,0.949,0.343,2.94,19,11.7,15.4,2.01,0.656
243,8,31,2002,0,0,0,2.07,2.44,0.339,2.94,16.2,8.91,12.6,10.9,0.66
244,9,1,2002,1.90E-04,0,0,2.21,2.62,0.331,2.93,15.1,7.49,11.3,19.6,0.663
245,9,2,2002,0,0,0,2.39,2.84,0.324,2.93,16.6,8.99,12.8,19.2,0.666
246,9,3,2002,0,0,0,1.35,1.61,0.316,2.92,18.9,11.3,15.1,8.95,0.671
247,9,4,2002,0,0,0,0.759,0.916,0.311,2.91,18.9,11.3,15.1,6.2,0.675
248,9,5,2002,1.58,0,0,1.39,1.54,0.307,2.91,17.4,9.78,13.6,7.72,0.679
249,9,6,2002,1.6,0,0,1.35,1.48,0.303,2.9,16.5,8.94,12.7,4.44,0.682
250,9,7,2002,2.86,0,0,2.05,2.22,0.302,2.89,15.8,8.21,12,13.2,0.686
251,9,8,2002,0.114,0,0,1.15,1.34,0.297,2.89,15.4,7.83,11.6,8.45,0.689
252,9,9,2002,13,0,0,0.93,1.06,0.32,2.88,15.3,7.67,11.5,6.93,0.692
253,9,10,2002,0,0,0,2.45,2.96,0.316,2.88,17.2,9.57,13.4,17.6,0.696
254,9,11,2002,0,0,0,2.52,3.06,0.309,2.87,18.2,10.6,14.4,17.1,0.7
255,9,12,2002,0,0,0,1.44,1.76,0.302,2.87,20.2,12.6,16.4,7.38,0.705
256,9,13,2002,0,0,0,2.14,2.62,0.296,2.86,20,12.4,16.2,15,0.709
257,9,14,2002,0,0,0,1.96,2.46,0.29,2.85,17.5,9.92,13.7,16.9,0.713
258,9,15,2002,0,0,0,1.68,2.13,0.284,2.85,16.3,8.71,12.5,16.2,0.716
259,9,16,2002,0,0,0,0.577,0.725,0.279,2.84,16.2,8.62,12.4,3.95,0.72
260,9,17,2002,0,0,0,1.09,1.38,0.275,2.84,16.9,9.29,13.1,7.25,0.724
261,9,18,2002,0,0,0,1.57,2,0.271,2.83,17,9.44,13.2,9.2,0.727
262,9,19,2002,0,0,0,0.969,1.23,0.266,2.83,16.5,8.93,12.7,5.22,0.731
263,9,20,2002,0,0,0,1.22,1.56,0.262,2.82,16.7,9.09,12.9,9.75,0.735
264,9,21,2002,0,0,0,1.68,2.15,0.257,2.82,15.8,8.21,12,14.9,0.738
265,9,22,2002,0,0,0,1.15,1.48,0.252,2.81,15.4,7.79,11.6,6.8,0.741
266,9,23,2002,0,0,0,1.81,2.33,0.248,2.81,14.3,6.74,10.5,14.9,0.744
267,9,24,2002,0,0,0,1.68,2.17,0.243,2.81,14,6.43,10.2,14.6,0.747
268,9,25,2002,5.26E-02,0,0,1.55,1.99,0.239,2.8,14.3,6.66,10.5,11.6,0.75
269,9,26,2002,0,0,0,0.973,1.26,0.235,2.8,17.2,9.57,13.4,5.62,0.754
270,9,27,2002,0,0,0,0.972,1.25,0.231,2.8,17.1,9.53,13.3,6.49,0.758
271,9,28,2002,0,0,0,0.807,1.04,0.228,2.79,17,9.42,13.2,3.84,0.761
272,9,29,2002,0.147,0,0,2.18,2.82,0.225,2.79,17.7,10.1,13.9,12.5,0.765
273,9,30,2002,0.218,0,0,2.06,2.66,0.221,2.79,17.8,10.2,14,9.65,0.769
274,10,1,2002,0.168,0,0,1.7,2.16,0.217,2.78,17.2,11.3,14.3,12.7,0.773
275,10,2,2002,9.74,0,0,1.43,1.7,0.222,2.78,16.6,10.7,13.6,5.99,0.777
276,10,3,2002,0.138,0,0,1.57,1.93,0.22,2.78,15,9.1,12.1,12.7,0.78
277,10,4,2002,0.191,0,0,1.53,1.89,0.216,2.77,14.2,8.26,11.2,12.1,0.783
278,10,5,2002,0.235,0,0,0.703,0.781,0.214,2.77,16.5,10.6,13.6,2.4,0.787
279,10,6,2002,0,0,0,1.25,1.57,0.211,2.77,15.4,9.47,12.4,10.6,0.791
280,10,7,2002,0.43,0,0,1.09,1.23,0.209,2.77,14.4,8.53,11.5,4.86,0.794
281,10,8,2002,0,0,0,2.44,3.09,0.206,2.77,14.7,8.83,11.8,8.45,0.797
282,10,9,2002,0,0,0,2.35,2.99,0.203,2.76,13.5,7.59,10.5,10.4,0.8
283,10,10,2002,0.268,0,0,1.19,1.4,0.2,2.76,13.6,7.66,10.6,4.71,0.803
284,10,11,2002,34.3,0,0,0.577,0.709,0.26,2.76,13.4,7.46,10.4,1.5,0.806
285,10,12,2002,3.11,0,0,1.61,1.87,0.262,2.76,12.9,6.98,9.93,11,0.809
286,10,13,2002,8.44,0,0,0.499,0.612,0.277,2.76,9.76,3.87,6.81,2.07,0.811
287,10,14,2002,2.71,0,0,0.712,0.885,0.279,2.76,11.3,5.41,8.36,8.92,0.813
288,10,15,2002,1.01,0,0,0.844,1.04,0.276,2.76,11,5.15,8.1,2.46,0.816
289,10,16,2002,4.97,0,0,1.03,1.25,0.283,2.76,9.54,3.64,6.59,5.53,0.817
290,10,17,2002,16.6,0,0,0.647,0.8,0.329,2.75,8.29,2.39,5.34,8.12,0.819
291,10,18,2002,3,0,0,0.875,1.07,0.332,2.75,7.94,2.04,4.99,9.56,0.82
292,10,19,2002,1.31,0,0,0.928,1.12,0.328,2.75,7.52,1.62,4.57,8.69,0.822
293,10,20,2002,25.1,0,0,0.662,0.825,0.419,2.75,7.48,1.58,4.53,0.804,0.823
294,10,21,2002,16.5,0,0,0.509,0.632,0.48,2.75,12.9,7.03,9.98,4.39,0.826
295,10,22,2002,7.67,0,0,0.612,0.761,0.499,2.75,13.4,7.55,10.5,2.02,0.829
296,10,23,2002,0.789,0,0,1.44,1.7,0.487,2.75,9.49,3.59,6.54,8.6,0.83
297,10,24,2002,28.1,0,0,1.08,1.31,0.592,2.75,9.79,3.89,6.84,6.46,0.832
298,10,25,2002,4.74,0,0,1.39,1.65,0.584,2.75,14,8.07,11,5.77,0.836
299,10,26,2002,20.4,0,0,1.85,2.15,0.651,2.75,12.4,6.45,9.4,7.22,0.838
300,10,27,2002,0.133,0,0,1.45,1.8,0.62,2.75,12.4,6.48,9.43,3.38,0.841
301,10,28,2002,6.38,0,0,1.47,1.73,0.623,2.75,11.6,5.67,8.62,5.76,0.843
302,10,29,2002,6.71,0,0,0.187,0.223,0.631,2.75,11.4,5.52,8.47,0.509,0.846
303,10,30,2002,0.235,0,0,0.244,0.295,0.613,2.74,9.83,3.93,6.88,2.07,0.848
304,10,31,2002,2.01,0,0,0.23,0.277,0.607,2.74,11.1,5.24,8.19,1.82,0.85
305,11,1,2002,13,0,0,0.443,0.551,0.649,2.74,13.8,9.41,11.6,0.775,0.853
306,11,2,2002,20.8,0,0,0.412,0.512,0.715,2.74,12.7,8.32,10.5,0.614,0.856
307,11,3,2002,0.909,0,0,1.34,1.58,0.681,2.74,12.3,7.9,10.1,6.25,0.859
308,11,4,2002,7.03,0,0,0.897,1.11,0.689,2.74,12.3,7.91,10.1,3.62,0.862
309,11,5,2002,22.7,0,0,0.291,0.358,0.763,2.74,14,9.61,11.8,1.17,0.865
310,11,6,2002,0.615,0,0,1.28,1.53,0.718,2.74,12.3,7.94,10.1,6.37,0.868
311,11,7,2002,20.9,0,0,1.07,1.31,0.784,2.74,9.56,5.16,7.36,3.59,0.87
312,11,8,2002,21.1,0,0,0.368,0.459,0.826,2.74,12,7.62,9.82,0.278,0.873
313,11,9,2002,17.2,0,0,0.423,0.52,0.845,2.74,10.8,6.4,8.6,1.31,0.875
314,11,10,2002,1.90E-04,0,0,0.867,1.01,0.791,2.74,12.5,8.07,10.3,5.45,0.878
315,11,11,2002,21.2,0,0,1.36,1.63,0.853,2.74,10.9,6.53,8.73,2.8,0.881
316,11,12,2002,10,0,0,0.847,1.06,0.834,2.74,10.4,5.95,8.15,5.61,0.883
317,11,13,2002,27.5,0,0,0.555,0.696,0.91,2.74,10.1,5.72,7.92,2.49,0.885
318,11,14,2002,7.5,0,0,0.689,0.871,0.86,2.74,10.5,6.09,8.29,0.561,0.887
319,11,15,2002,9.34E-03,0,0,0.416,0.502,0.821,2.74,9.62,5.23,7.43,2.8,0.889
320,11,16,2002,0.535,0,0,0.298,0.365,0.795,2.74,7.86,3.46,5.66,1.42,0.891
321,11,17,2002,0.368,0,0,0.28,0.338,0.772,2.74,7.73,3.33,5.53,2.64,0.893
322,11,18,2002,0.971,0,0,0.669,0.842,0.752,2.74,8.83,4.43,6.63,1.98,0.895
323,11,19,2002,18.5,0,0,0.716,0.921,0.81,2.74,8.95,4.55,6.75,2.98,0.896
324,11,20,2002,1.95,0,0,0.582,0.746,0.778,2.74,9.25,4.85,7.05,1.89,0.898
325,11,21,2002,1.83,0,0,0.691,0.888,0.763,2.74,10.6,6.17,8.37,0.739,0.901
326,11,22,2002,4.81,0,0,0.72,0.923,0.761,2.74,9.87,5.47,7.67,2.6,0.903
327,11,23,2002,6.44,0,0,0.825,1.05,0.765,2.74,9.63,5.23,7.43,2.78,0.905
328,11,24,2002,0,0,0,0.694,0.897,0.741,2.74,9.66,5.26,7.46,2.21,0.907
329,11,25,2002,9.99,0,0,0.428,0.543,0.761,2.74,9.46,5.06,7.26,1.9,0.909
330,11,26,2002,5.1,0,0,0.748,0.958,0.755,2.74,11.2,6.77,8.97,1.09,0.912
331,11,27,2002,22.5,0,0,0.843,1.07,0.827,2.74,11.8,7.45,9.65,0.35,0.914
332,11,28,2002,13.2,0,0,0.706,0.903,0.819,2.74,10.7,6.32,8.52,1.94,0.917
333,11,29,2002,1.35,0,0,0.171,0.201,0.777,2.74,9.79,5.39,7.59,3.95,0.919
334,11,30,2002,15.8,0,0,0.311,0.39,0.824,2.74,9.85,5.46,7.65,0.353,0.921
335,12,1,2002,2.06,0,0,1.16,1.43,0.782,2.74,10.5,6.39,8.44,2.68,0.923
336,12,2,2002,2.89,0,0,1.14,1.4,0.769,2.74,9.94,5.85,7.89,0.962,0.926
337,12,3,2002,15.6,0,0,0.443,0.559,0.811,2.74,9.58,5.48,7.53,1.05,0.928
338,12,4,2002,0.493,0,0,0.836,1.01,0.768,2.74,9.29,5.2,7.24,3.84,0.93
339,12,5,2002,1.81E-02,0,0,0.519,0.652,0.748,2.74,7.66,3.56,5.61,3.83,0.931
340,12,6,2002,0,0,0,0.36,0.455,0.728,2.74,7.11,3.01,5.06,3.46,0.933
341,12,7,2002,0,0,0,0.625,0.804,0.71,2.74,6.69,2.59,4.64,1.78,0.934
342,12,8,2002,0,0,0,0.617,0.802,0.693,2.74,5.33,1.23,3.28,1.1,0.935
343,12,9,2002,0,0,0,0.845,1.1,0.676,2.74,4.4,0.303,2.35,3.82,0.936
344,12,10,2002,0.138,0,0,1.05,1.34,0.66,2.74,3.7,-0.401,1.65,3.74,0.936
345,12,11,2002,4.01,1.23,1.23,1.04,1.29,0.654,2.74,3.43,-0.674,1.38,3.66,0.937
346,12,12,2002,0.956,5.58E-02,5.58E-02,0.377,0.476,0.643,2.74,3.51,-0.592,1.46,1.14,0.937
347,12,13,2002,1.81E-02,0,0,0.11,0.137,0.63,2.74,4.46,0.359,2.41,0.943,0.938
348,12,14,2002,0.83,0,0,0.314,0.394,0.62,2.74,6.12,2.02,4.07,1.04,0.939
349,12,15,2002,0.407,0,0,0.466,0.59,0.609,2.74,6.12,2.02,4.07,1.02,0.94
350,12,16,2002,0,0,0,0.28,0.344,0.599,2.74,5.5,1.4,3.45,1.3,0.941
351,12,17,2002,0,0,0,0.382,0.475,0.588,2.74,4.43,0.332,2.38,3.35,0.942
352,12,18,2002,0,0,0,0.341,0.432,0.577,2.74,2.04,-2.06,-5.65E-03,3.62,0.942
353,12,19,2002,0,0,0,0.576,0.739,0.567,2.74,4.5,0.403,2.45,3.59,0.942
354,12,20,2002,0.536,0,0,0.207,0.238,0.557,2.74,5.28,1.18,3.23,1.64,0.943
355,12,21,2002,29.6,0,0,0.222,0.274,0.671,2.74,7.38,3.28,5.33,0.831,0.945
356,12,22,2002,9.45,0,0,0.189,0.23,0.696,2.74,9.8,5.7,7.75,1.32,0.947
357,12,23,2002,12.1,0,0,0.492,0.624,0.727,2.74,11.7,7.58,9.63,1.94,0.95
358,12,24,2002,7.72,0,0,0.488,0.621,0.73,2.74,11.7,7.57,9.62,0.543,0.952
359,12,25,2002,9.33,0,0,0.27,0.334,0.744,2.74,10.5,6.39,8.44,2.13,0.955
360,12,26,2002,8.15,0,0,0.234,0.287,0.75,2.74,10,5.95,8,1.71,0.957
361,12,27,2002,3.61,0,0,0.352,0.442,0.737,2.74,9.85,5.75,7.8,0.506,0.959
362,12,28,2002,15.1,0,0,0.595,0.755,0.781,2.74,9.03,4.93,6.98,0.877,0.961
363,12,29,2002,26.1,0,0,0.24,0.299,0.849,2.74,9.47,5.37,7.42,0.24,0.963
364,12,30,2002,3.08,0,0,0.322,0.403,0.788,2.74,8.61,4.51,6.56,0.913,0.965
365,12,31,2002,9.9,0,0,0.466,0.59,0.806,2.74,6.32,2.22,4.27,0.919,0.966
